,Year,Tweet Location,Negative,Neutral,Positive,Tweet
0,2021,Argentina,0.022,0.682,0.297,2
1,2021,Australia,0.05,0.449,0.501,10
2,2021,Austria,0.038,0.842,0.12,1
3,2021,Brazil,0.026,0.891,0.082,1
4,2021,Canada,0.088,0.63,0.282,5
5,2021,Czech Republic,0.073,0.85,0.077,1
6,2021,Denmark,0.016,0.284,0.7,1
7,2021,India,0.183,0.162,0.655,4
8,2021,Ireland,0.451,0.367,0.182,3
9,2021,Italy,0.003,0.09,0.907,2
10,2021,Kenya,0.011,0.092,0.897,1
11,2021,Malta,0.204,0.723,0.073,1
12,2021,Mexico,0.086,0.464,0.45,7
13,2021,Qatar,0.014,0.837,0.149,1
14,2021,Singapore,0.007,0.098,0.895,1
15,2021,Spain,0.031,0.905,0.065,1
16,2021,Taiwan,0.001,0.013,0.985,1
17,2021,Turkey,0.009,0.349,0.642,3
18,2021,United Arab Emirates,0.519,0.267,0.214,2
19,2021,United Kingdom,0.01,0.311,0.679,3
20,2021,United States,0.127,0.351,0.523,131
